주소,토양통명,표토토성,심토토성,경사,배수등급,유효토심,모암_모재,분포지형
전라북도 완주군 이서면 상개리 715-1,사촌,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 이성리 616-8,지산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 상관면 용암리 349,태화,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 삼례읍 수계리 333-5,호남,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 삼례읍 삼례리 1419-21 ,대곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 운주면 장선리 419-3,오산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 비봉면 내월리 588-3,매곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 삼례리 998-5,상주,사양토,사양질,0-2%,매우불량,얕음_20-50cm,제4기층,하성평탄지
전라북도 완주군 이서면 은교리 산68-24 ,오산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 고산면 오산리 318-4 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 동상면 수만리 344,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 상관면 죽림리 54-4,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 운주면 완창리 739-1,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 이서면 갈산리 산133-4,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 대치리 717-7 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 봉동읍 용암리 105-6 ,백산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 덕천리 25-1,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 하리 93-5,강서,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 운주면 구제리 223,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 삼례읍 구와리 886,도천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 석전리 756-3,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 화산면 화월리 255,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 안덕리 495,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 삼기리 805-4,덕천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 상관면 마치리 388,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 구이면 안덕리 466-5 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 동상면 사봉리 1105-8 ,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 후정리 227-5 ,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 고산면 화정리 555-38 ,봉산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신촌리 220-1,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 용복리 924,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 신금리 352,사촌,양토,사양질,7-15%,양호,보통_50-100cm,산성암,곡간지/선상지
전라북도 완주군 비봉면 대치리 산7,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 동상면 사봉리 산126-1,고산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 황운리 45-3,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 운주면 장선리 44-5,각화,양토,식질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 죽절리 산207-7 ,울산,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 반교리 707-47 ,대곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 이서면 용서리 685,화동,미사질양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 삼례읍 삼례리 1414-1,예산,양토,사양질,30-60%,약간양호,얕음_20-50cm,산성암,곡간지/선상지
전라북도 완주군 이서면 이성리 354-2,사촌,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 소양면 신교리 60-4,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 운주면 금당리 96-1,하천범람지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 이서면 남계리 336-2,고평,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 구이면 안덕리 344,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 율곡리 산4-3 ,삼각,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 봉동읍 제내리 466-3,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 은교리 산17-3 ,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신촌리 산70,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 경천면 가천리 982-8 ,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 신지리 1570-38,강서,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 성재리 141-2 ,임곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 항가리 산159,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 낙평리 671-1 ,남계,양토,사질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 명덕리 631-9 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 내월리 509-6,매곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 비봉면 내월리 508-2,매곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 소양면 명덕리 산348,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 삼기리 산25,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 광곡리 482-1 ,각화,양토,식질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 삼례리 1490 ,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 비봉면 봉산리 835-9,지곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 백여리 624-24 ,봉산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 삼례리 962-3,예산,양토,사양질,0-2%,약간양호,보통_50-100cm,제4기층,하성평탄지
전라북도 완주군 화산면 운곡리 436-6 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 운주면 장선리 89-4 ,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 비봉면 내월리 411,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 반교리 531-63 ,전남,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 용진읍 용흥리 818,남계,양토,사질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 삼례리 1700-17 ,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 비봉면 봉산리 산83-2 ,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 해전리 1-13,도천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 운주면 장선리 722-9 ,가천,사양토,식양질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 소양면 신교리 1084-6 ,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 춘산리 93-3,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 백여리 442-1 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 하리 1133,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 상관면 신리 279-1 ,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 운주면 금당리 572,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 소양면 신교리 산105-1 ,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 동상면 수만리 778,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 황운리 138-5,울산,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 이성리 117-3,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 화산면 화월리 1322,함평,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 화산면 운곡리 1091,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 삼례리 1490-4,고평,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 봉동읍 용암리 801,백산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 가천리 1177,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 용진읍 운곡리 889,옥천,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신원리 760,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 수선리 70,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 성북리 63-2,예천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 비봉면 봉산리 947-4 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 소양면 황운리 527-12,칠곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 덕천리 144-9,사촌,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 갈산리 693-2 ,옥천,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 소향리 834-9 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 운주면 완창리 221 ,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 원기리 1029-1 ,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 소양면 해월리 974-7 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 상운리 407,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 남계리 186,용지,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 명덕리 1207-9,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 둔산리 산68-2,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 신지리 1109-10,덕천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 용진읍 상삼리 59-14 ,울산,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 운산리 262,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 화산면 운곡리 948 ,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 비봉면 백도리 983,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 운곡리 370,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 가천리 1173,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 상개리 704,용지,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 오산리 산51-5,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신교리 1116-1,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 고천리 991-8,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 화산면 운곡리 311-4,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 서봉리 907,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 계곡리 산121,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 대흥리 351,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 상관면 의암리 734-2,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 안덕리 466-8 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 장구리 363-1,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 남계리 673-48 ,예산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 삼례읍 어전리 1089 ,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 은하리 618-1,백산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 계곡리 379-3,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 화산면 운산리 478-2 ,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 안덕리 122-4,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 간중리 491-10,오산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 계곡리 1022-62,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 평촌리 939-3,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 성북리 358-1,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 덕천리 1415-70 ,남계,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 소양면 대흥리 432-3 ,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 해월리 137-2,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 명덕리 631-10 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 오산리 721-7 ,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 화정리 714,칠곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 이서면 이성리 15-8 ,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 항가리 38,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 구이면 안덕리 산161-1,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 성재리 414-1,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 제내리 733-4 ,전남,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 구이면 계곡리 875,남계,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 삼례읍 후정리 114-1,예산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 계곡리 산74,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신촌리 374-14 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 삼례리 923-26,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 백여리 산26-4 ,태화,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 봉동읍 구암리 262-21,백산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 백여리 939,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 성재리 44,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 운곡리 867-7,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 삼례읍 구와리 835-2 ,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 상관면 죽림리 776-12,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 이서면 금평리 808-31 ,예산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 은교리 433-9,옥천,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 화정리 산105,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 해월리 23-1 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 신금리 491-19,예산,양토,사양질,7-15%,양호,매우얕음_0-20cm,산성암,산록경사지
전라북도 완주군 소양면 신교리 1022-15 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신교리 313-4 ,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 고산면 성재리 산48,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 둔산리 101-1,각화,양토,식질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 신지리 222-3 ,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 삼례읍 하리 93-4,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 소양면 명덕리 1132-1,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 봉동읍 구미리 39,용지,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 성덕리 449-2,강서,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 두현리 산27-1,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 백여리 1003-2,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 덕천리 1513-19,함평,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 화산면 화월리 832-1,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 와룡리 824,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 남계리 618-7 ,화동,미사질양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 운주면 금당리 181-2 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 양야리 599-2,지산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 낙평리 390-4,덕천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 광곡리 465,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 죽절리 산4-2,울산,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 운주면 장선리 419-1,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 구만리 1096-1,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 운주면 고당리 산36-3 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 은하리 689-2,용지,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신원리 산108-1,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 명덕리 1131-1,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 상관면 죽림리 196-2,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 종리 70-8 ,울산,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 봉동읍 제내리 143 ,지곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 용진읍 간중리 753,화동,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 소양면 명덕리 631-3,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 계곡리 산106,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 대치리 227,외산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 동상면 수만리 512,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 백여리 332-1 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 황운리 218-4,고천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 비봉면 백도리 40-1,임곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신원리 689-8,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 와룡리 950-2 ,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 갈산리 64-28,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 소향리 218-14,고천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 남봉리 892,통천,사양토,식양질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 용진읍 용흥리 산143-1,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 운제리 145-2 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 삼례리 707-10 ,석천,양토,사양질,15-30%,매우양호,보통_50-100cm,산성암,산악지
전라북도 완주군 이서면 남계리 187-14,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 상관면 마치리 산24,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 둔산리 948-18 ,지산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 동상면 사봉리 683-6,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 서봉리 581-3,오산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 덕천리 1088-2,함평,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 화산면 운곡리 175-7 ,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 소양면 황운리 447,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 고산면 소향리 813-3,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 간중리 906-1,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 가천리 산98-18 ,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 이서면 이문리 208-4,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 낙평리 730-2,중동,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 삼례리 178-9 ,고평,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 이서면 용서리 497,대곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 광곡리 산119-5,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 은하리 50-2,지산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 운주면 고당리 425-4,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 와룡리 산30,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 항가리 962-4,황룡,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 화산면 와룡리 506-3,임곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 석전리 308-20,남계,양토,사질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
