주소,토양통명,표토토성,심토토성,경사,배수등급,유효토심,모암_모재,분포지형
전라북도 완주군 소양면 해월리 720-69 ,남계,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 용진읍 상삼리 382-2,옥천,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 두현리 99,예산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 은교리 산49,사촌,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 구이면 계곡리 산36-1 ,남계,사양토,사질,60-100%,양호,얕음_20-50cm,변성암,산록경사지
전라북도 완주군 용진읍 상삼리 685-5,고천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 소양면 명덕리 산279,우곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 장구리 443-41,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 내월리 산56-65,오산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 봉동읍 구미리 15-1,중동,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 화평리 758-7,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 소양면 신원리 28-9 ,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 소양면 신원리 64-4 ,행곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 수선리 산69,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 백여리 1297 ,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 고산면 서봉리 99-1,지산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 비봉면 내월리 614,과천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 화산면 성북리 산62-1,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 삼례읍 삼례리 1465-3,사촌,양토,사양질,15-30%,양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 반교리 89,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 경천면 경천리 255-2,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 둔산리 124-7,각화,양토,식질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 운제리 254-3,월곡,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 율곡리 245-2 ,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 이성리 408-4,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 운주면 완창리 771,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 상관면 마치리 17,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 수계리 260-2,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 상관면 의암리 127-1,호계,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 이서면 은교리 308-11,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 동상면 수만리 230,금곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 둔산리 950,백산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 화산면 와룡리 341 ,아산,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 상관면 용암리 산177-4 ,대구,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 운주면 장선리 504-6 ,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 장구리 산86-35,전남,미사질식양토,식질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 운주면 산북리 764,풍천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 이서면 반교리 707-32 ,원곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 둔산리 59-1,우곡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 제내리 520-6,예산,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 용진읍 상삼리 655-8 ,평택,미사질양토,미사식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 비봉면 백도리 293,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 성덕리 682,강서,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 고산면 읍내리 723-2 ,용지,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 용진읍 상운리 316-3 ,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 동상면 신월리 65,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 둔산리 899-10,옥천,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 삼례읍 수계리 152-2,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 비봉면 수선리 산60,안룡,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 구이면 백여리 산249-8 ,석토,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 봉동읍 제내리 879-6,석천,양토,사양질,7-15%,매우양호,깊음_100cm이상,퇴적암,산악지
전라북도 완주군 삼례읍 삼례리 1490-28,상주,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 경천면 가천리 산64-1,무등,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
전라북도 완주군 운주면 구제리 산9-2,수암,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 이서면 이성리 183,저수지,기타,기타,기타,기타,기타,기타,기타
전라북도 완주군 봉동읍 낙평리 608,고천,사양토,사양질,60-100%,매우양호,얕음_20-50cm,변성암,산악지
전라북도 완주군 구이면 항가리 1136-1,태화,미사질양토,식양질,0-2%,양호,매우얕음_0-20cm,제4기층,산록경사지
전라북도 완주군 용진읍 운곡리 509-24,송정,양토,식양질,7-15%,양호,깊음_100cm이상,퇴적암,산록경사지
